id,created_at,text,retweets,favorites
601416516777680896,2015-05-21 15:57:26,Today’s Floor Schedule: The House of Representatives will complete consideration of the SPACE Act of 2015. http://t.co/sQUQlKDgth,3,0
601373233628217344,2015-05-21 13:05:26,"RT @RepEBJ: .@HouseGOP's ""America COMPETES Act"" is anti-science, anti-innovation &amp; caters to special interests. http://t.co/f77WjXXpre",72,0
601147049799725056,2015-05-20 22:06:40,"I oppose GOP’s anti-science COMPETES Act, unpaid-for R&amp;D tax bill—they place econ competitiveness and budget at risk: http://t.co/UIAqZpctBP",11,9
601137233823997953,2015-05-20 21:27:39,"Happy birthday to my friend from Delaware, @JohnCarneyDE. Thank you for your efforts to strengthen our national manufacturing sector.",6,5
601114314666303489,2015-05-20 19:56:35,GOP COMPETES bill politicizes grant funding &amp; rolls back investment in scientific research: http://t.co/UVS9nQlVIv http://t.co/X9uorFyomH,18,5
601074399186440192,2015-05-20 17:17:58,"Ty @FSCDems RM @MaxineWaters for your ldrship on calling on GOP to reauth @EximBankUS, give American biz confidence http://t.co/GEvgMC2GOe",7,3
601064041713422336,2015-05-20 16:36:49,Today's Schedule: House will vote on an unpaid-for tax cut &amp; GOP’s partisan COMPETES Act which disinvests in research http://t.co/zOXiMHPiHn,4,3
601059355149086720,2015-05-20 16:18:12,"22 yrs ago, National Voter Registration Act became law. We must cnte to help ensure equal access to the ballot box #VotingRights #MotorVoter",11,9
601028808251047936,2015-05-20 14:16:49,Congrats to my friend John Spratt on his portrait unveiling; thx for your yrs of service to House &amp; Budget Committee http://t.co/BiiJglR8gI,1,3
601028049992339457,2015-05-20 14:13:48,.@USATODAY—Gen. James Jones: “Keep the @EximBankUS” that supported 164k export-related jobs in 2014 #HoyerHeadlines http://t.co/MYSQnJwwKX,4,1
600843452243431424,2015-05-20 02:00:16,"I'll continue to #Fight4DAPA in anticipation of courts ruling in favor, work to stop families from being torn apart http://t.co/J3YYtaXlCO",36,22
600796509693673472,2015-05-19 22:53:44,Ty @SecretaryCastro for meeting w poverty task force to discuss @HUDgov's work to expand access to affordable housing http://t.co/cE8d98XT3r,7,7
600770169783353347,2015-05-19 21:09:04,"Congratulations to my friend @RepKarenBass, who just received her Master’s in Social Work from @USC. http://t.co/Mjswt0Ln9A",3,11
600767153688682496,2015-05-19 20:57:05,"While I'll vote for 60-day Highway Trust Fund extension, we need a long-term infrastructure bill to grow our economy http://t.co/UmmT6siZjZ",6,9
600755374413598720,2015-05-19 20:10:17,Thank you @OfficialCBC for CBC Tech 2020 initiative to promote #TECHdiversity in #STEM education so US workforce represents our nation,7,5
600754672207409152,2015-05-19 20:07:29,"As a proud @UofMaryland alumni, met w/ Amy Eichhorst, Executive Director of Alumni Association, about future of UMD http://t.co/DTSW1HlCw7",1,6
600753699233738752,2015-05-19 20:03:38,Congrats to @OfficialCBC for launching CBC Tech 2020 initiative to increase African American involvement in the #Tech sector. #TECHdiversity,4,2
600744906483757056,2015-05-19 19:28:41,"Science, biz, education leaders oppose GOP COMPETES Act that disinvests in US competitiveness http://t.co/UVS9nQlVIv http://t.co/Kz7AQeG9ks",5,8
600725669409067008,2015-05-19 18:12:15,Today’s Schedule: The House will vote on short-term reauth of Highway Trust Fund &amp; legislative branch appropriations http://t.co/iw09jvvxa9,1,2
600724316045582336,2015-05-19 18:06:52,At #fiscalsummit I said Congress needs to grow confidence that we can act reasonably w/o moving from crisis to crisis http://t.co/gtIlSJDe4e,4,7
600723678318452737,2015-05-19 18:04:20,"Discussed need for a long-term, sustainable funding source for Highway Trust Fund at @FiscalSummit. Uncertainty is not helpful to economy.",7,2
600723472113872897,2015-05-19 18:03:31,"Also said we need to reach agreement on fiscal, tax, immigration policy, Ex-Im Bank reauth, highway $ to give confidence @FiscalSummit",2,3
600723192018272256,2015-05-19 18:02:24,"At @fiscalsummit I said we’re going to have to reach another deal to replace sequester, GOP cannot implement sequester numbers #fiscalsummit",4,1
600720565909987328,2015-05-19 17:51:58,Told press I join RM @louiseslaughter and Rules Committee Dems in urging @HouseGOP to stop limiting debate on issues Americans care about.,1,3
600720304688799744,2015-05-19 17:50:56,"Told press both parties came together to pass &amp; reauthorize COMPETES Act in the past, but GOP bill on the Floor disinvests in innovation",3,3
600718980865732608,2015-05-19 17:45:40,"Told reporters Dems will urge GOP to work with us over next 60 days to come up with sustainable, long-term funding for Highway Trust Fund",7,6
600700494714122240,2015-05-19 16:32:13,"At #FiscalSummit said we need to help American biz, community govs plan ahead, grow economy with long-term funding for Highway Trust Fund",0,1
600691681072132096,2015-05-19 15:57:11,"I’ll discuss economic recovery, opportunity at the 2015 @fiscalsummit in a few minutes. Watch live at http://t.co/V9bahBhvMA. #FiscalSummit",4,5
600664160226189312,2015-05-19 14:07:50,"Pleased to meet @girlscouts ldrs Kathy Hannan &amp; Anna Maria Chávez, thank them for their work to empower young girls http://t.co/ZQhuG6x1zE",4,8
600650566088396800,2015-05-19 13:13:49,"RT @RepBecerra: Every day the President's actions on immigration are delayed is a missed opportunity for families, businesses &amp; communities…",230,0
600646592006348800,2015-05-19 12:58:01,I’ll be speaking at 2015 @fiscalsummit today at 12pm to discuss US economic recovery. Watch live at http://t.co/V9bahBhvMA. #FiscalSummit,6,6
600602144715190272,2015-05-19 10:01:24,".@POTUS –  welcome to Twitter, Mr. President. 1.2 million new followers in 10 hours? That’s @TheEllenShow selfie popular.",17,26
600422245480189952,2015-05-18 22:06:33,Learn how you can honor the veterans in your life this #MemorialDay through the #LOCvets History Project: http://t.co/co0NVcNbLv,2,4
600387689989341184,2015-05-18 19:49:14,"As we celebrate #HeadStart50, take a look at @HHSGov @SecBurwell’s personal Head Start story: http://t.co/MFHpQfdmYq",3,1
600386365608558592,2015-05-18 19:43:58,"I join in marking the 50th anniversary of Head Start, a program critical to closing the achievement gap #HeadStart50 http://t.co/ALTT9WG72J",10,10
600376821046206464,2015-05-18 19:06:03,"Today’s Floor Schedule: The House will debate eight bills, including a bipartisan bill to combat human trafficking. http://t.co/T72zg3EwDW",3,3
600359074325274628,2015-05-18 17:55:32,"Tomorrow I’m speaking at the 2015 @fiscalsummit. Tweet me your questions about the U.S. economic recovery, and I’ll try to answer some.",6,2
600358328800288768,2015-05-18 17:52:34,The #ACAisWorking to improve access to preventive services for millions of Americans. http://t.co/MF7bNXceZ2 http://t.co/2dQfmxpib2,3,7
600307104604368896,2015-05-18 14:29:01,RT @Clyburn: Our children are our future. Join me in celebrating the 50th Anniversary of @HeadStartgov #HeadStart50 #EngageDems,141,0
599721482856435714,2015-05-16 23:41:58,Honored to celebrate @StMarysMD class of 2015 at their commencement &amp; mark 175th anniversary of the founding of #SMCM http://t.co/RYgS8ZqpBD,4,8
599325101557948416,2015-05-15 21:26:53,"#FY16NDAA endorses flawed GOP budget policy of sequestration, jeopardizing our econ competitiveness &amp; natl security http://t.co/qKUhE8ydYt",6,4
599268702031355904,2015-05-15 17:42:47,Honored to attend 34th Natl Peace Officers' Memorial Service; I join in paying tribute to our fallen peace officers http://t.co/mksUtUzL1p,2,3
599213249641480192,2015-05-15 14:02:26,"Happy belated birthday to my friend from California and a strong advocate for our men and women in uniform, @RepSpeier.",0,0
599004812122939392,2015-05-15 00:14:10,221 Republicans vote for anti-immigrant amendment striking language in #FY2016NDAA encouraging SecDef to allow DREAMers to serve in military,7,8
598984960251469824,2015-05-14 22:55:17,"VIDEO: I spoke on the Floor today in opposition to Republicans' #FY16NDAA, which undermines our national security http://t.co/HOlENYEoCI",2,2
598975471662030848,2015-05-14 22:17:35,"I urge Rs to keep @RepRubenGallego’s #FY16NDAA DREAMer provision, let young people who love America serve the nation http://t.co/UG84Z8r4mV",10,9
598960740024856577,2015-05-14 21:19:03,Be sure to sign up for the Whip’s Report for more updates from Capitol Hill. http://t.co/CWsjBdGvHf http://t.co/9x5tgkMENi,2,4
598926714224418818,2015-05-14 19:03:50,Highway Trust Fund will expire at end of May &amp; risk jobs if @HouseGOP doesn't act. RT to tell Rs to #FixTheTrustFund http://t.co/HeJNCkOI9g,9,3
598921409306435584,2015-05-14 18:42:46,May is National Physical Fitness &amp; Sports Month. Click here to find programs in the 5th District to keep you active: http://t.co/hC66lZyQSL,1,2
598919330265440257,2015-05-14 18:34:30,Thanks @SenatorCardin @SenBobCorker for work on #Iran Nuclear Agreement Review Act to allow Congress to look carefully at final agreement,5,4
598912373882286081,2015-05-14 18:06:51,#Iran Nuclear Agreement Review Act will help ensure that our common goal is achieved: a non-nuclear-armed Iran. http://t.co/5aA2uENjGg,5,5
598911058275860481,2015-05-14 18:01:38,"RT @RepAdamSmith: .@SpeakerBoehner calls a vote against NDAA shameful, yet, he opposed NDAA in 2010. How does he deal with his shame?  #FY1…",10,0
598908432591257600,2015-05-14 17:51:12,"This #NWHW, the #ACAisWorking for American women by enhancing consumer protections: http://t.co/XwFoN5yIHI http://t.co/nCLNd7sI1l",1,3
598903905418911745,2015-05-14 17:33:12,"Today’s Floor Schedule: House of Representatives will debate #FY16NDAA, vote on #Iran Nuclear Agreement Review Act. http://t.co/47IcHyiD5F",2,3
598871836630343680,2015-05-14 15:25:47,RT @RepRubenGallego: Lets keep the amendment “Enable DREAMers to Serve in Uniform” in #FY16NDAA and work to allow DREAMers to serve the cou…,22,0
598856242073903106,2015-05-14 14:23:48,"RT @RepPerlmutter: Let's renew Highway Trust Fund ASAP. @HouseGOP's needless crisis casts uncertainty on 6,000 US construction projects. ht…",102,0
598640088948539392,2015-05-14 00:04:54,"Thank you @RepAdamSchiff, @repjohnconyers, and @Call_Me_Dutch for your hard work &amp; leadership to reach #USAFreedomAct compromise",4,5
598640008002666497,2015-05-14 00:04:34,Pleased House passed bipartisan #USAFreedomAct to protect civil liberties and provide tools to keep our country safe http://t.co/XqBHQt1fH7,2,3
598631542840291329,2015-05-13 23:30:56,I’m disappointed that @HouseGOP once again voted to roll back women’s health care rights. http://t.co/djs7KtFlq2,23,15
